,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
47,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,180.09,4.7619047619999995,9.0045,4.1
48,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.678999999999999,119.259,Credit card,113.58,4.7619047619999995,5.678999999999999,8.1
52,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,Ewallet,71.48,4.7619047619999995,3.574,6.5
54,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.6159999999999999,33.936,Ewallet,32.32,4.7619047619999995,1.6159999999999999,6.5
62,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,Ewallet,495.63,4.7619047619999995,24.7815,10.0
64,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,Cash,302.96,4.7619047619999995,15.148,7.6
67,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,Ewallet,585.66,4.7619047619999995,29.283,9.9
72,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,Ewallet,145.56,4.7619047619999995,7.278,4.0
81,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54200000000003,Ewallet,290.04,4.7619047619999995,14.502,6.4
89,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.096999999999998,485.037,Cash,461.94,4.7619047619999995,23.096999999999998,6.1
93,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,Credit card,579.24,4.7619047619999995,28.962,8.6
96,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,Ewallet,878.7,4.7619047619999995,43.935,5.1
99,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,Cash,496.2,4.7619047619999995,24.81,7.4
104,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,Cash,212.45,4.7619047619999995,10.6225,8.0
110,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,Ewallet,32.98,4.7619047619999995,1.649,4.6
112,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,Cash,509.88,4.7619047619999995,25.494,8.4
116,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,Ewallet,109.7,4.7619047619999995,5.485,5.3
117,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928000000000004,Ewallet,51.36,4.7619047619999995,2.568,5.2
119,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.343999999999999,112.22399999999999,Ewallet,106.88,4.7619047619999995,5.343999999999999,4.1
122,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,Credit card,899.64,4.7619047619999995,44.982,4.2
124,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,Ewallet,451.76,4.7619047619999995,22.588,7.3
129,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.1460000000001,Ewallet,812.52,4.7619047619999995,40.626,7.2
130,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,277.34,4.7619047619999995,13.867,7.5
132,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,Cash,139.36,4.7619047619999995,6.968,7.4
133,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,Credit card,524.7,4.7619047619999995,26.235,8.8
138,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,Cash,519.1,4.7619047619999995,25.955,8.2
148,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,Credit card,574.88,4.7619047619999995,28.744,6.2
150,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,Credit card,366.16,4.7619047619999995,18.308,4.8
156,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,72.17,4.7619047619999995,3.6085,6.1
157,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,251.4,4.7619047619999995,12.57,9.7
158,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.748999999999995,918.7289999999999,Ewallet,874.98,4.7619047619999995,43.748999999999995,6.0
159,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,Ewallet,560.34,4.7619047619999995,28.017,10.0
164,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,Credit card,399.0,4.7619047619999995,19.95,5.9
165,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,Ewallet,340.56,4.7619047619999995,17.028,5.6
171,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card,400.25,4.7619047619999995,20.0125,9.4
173,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card,317.34,4.7619047619999995,15.867,9.8
174,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,Ewallet,158.32,4.7619047619999995,7.916,8.7
185,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.7119999999999997,56.952,Ewallet,54.24,4.7619047619999995,2.7119999999999997,8.0
186,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,Ewallet,755.92,4.7619047619999995,37.796,7.5
187,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,Cash,185.88,4.7619047619999995,9.294,7.0
190,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,Credit card,231.12,4.7619047619999995,11.556,7.2
191,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,Ewallet,147.04,4.7619047619999995,7.352,4.6
193,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,Ewallet,102.2,4.7619047619999995,5.11,5.7
201,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,Cash,229.96,4.7619047619999995,11.498,6.6
203,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,Ewallet,259.0,4.7619047619999995,12.95,8.7
204,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,Credit card,88.85,4.7619047619999995,4.4425,5.4
208,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,Ewallet,91.11,4.7619047619999995,4.5555,5.1
209,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,Credit card,897.57,4.7619047619999995,44.8785,6.5
212,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,Ewallet,461.8,4.7619047619999995,23.09,4.9
213,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.962999999999999,146.22299999999998,Credit card,139.26,4.7619047619999995,6.962999999999999,4.4
214,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,Cash,207.27,4.7619047619999995,10.3635,6.5
216,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,Cash,123.85,4.7619047619999995,6.1925,8.5
218,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,Ewallet,758.96,4.7619047619999995,37.948,8.7
219,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.62099999999998,Credit card,172.02,4.7619047619999995,8.601,7.9
220,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,Ewallet,272.1,4.7619047619999995,13.605,6.1
221,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,Ewallet,434.56,4.7619047619999995,21.728,5.4
226,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,Ewallet,624.33,4.7619047619999995,31.2165,4.0
228,B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,Cash,544.2,4.7619047619999995,27.21,5.3
230,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,Cash,162.74,4.7619047619999995,8.137,6.5
231,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,Credit card,31.77,4.7619047619999995,1.5885,8.7
232,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,Cash,756.81,4.7619047619999995,37.8405,8.0
233,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764000000000001,310.04400000000004,Cash,295.28,4.7619047619999995,14.764000000000001,6.7
238,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,Cash,66.1,4.7619047619999995,3.305,4.3
244,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,Credit card,750.96,4.7619047619999995,37.548,8.3
246,B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,256.41,Cash,244.2,4.7619047619999995,12.21,4.8
249,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.570999999999998,536.991,Credit card,511.42,4.7619047619999995,25.570999999999998,4.2
250,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,Ewallet,418.95,4.7619047619999995,20.9475,6.4
255,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.004,Cash,130.48,4.7619047619999995,6.524,9.0
262,B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,160.86,Cash,153.2,4.7619047619999995,7.66,5.7
264,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,Ewallet,54.45,4.7619047619999995,2.7225,7.9
267,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,Cash,746.0,4.7619047619999995,37.3,9.5
270,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,354.0075,Ewallet,337.15,4.7619047619999995,16.8575,6.3
274,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.173,Ewallet,598.26,4.7619047619999995,29.913,7.9
275,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,Cash,335.79,4.7619047619999995,16.7895,6.2
285,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,Cash,333.4,4.7619047619999995,16.67,7.6
288,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,356.5485,Credit card,339.57,4.7619047619999995,16.9785,5.2
290,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,Credit card,403.0,4.7619047619999995,20.15,7.0
294,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,190.155,Ewallet,181.1,4.7619047619999995,9.055,5.9
301,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,Credit card,39.01,4.7619047619999995,1.9505,4.7
304,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,125.664,Cash,119.68,4.7619047619999995,5.984,8.6
310,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.559,Cash,479.58,4.7619047619999995,23.979,5.5
325,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.50800000000004,Ewallet,390.96,4.7619047619999995,19.548,6.4
328,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.74599999999998,Credit card,204.52,4.7619047619999995,10.226,4.0
330,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.908999999999999,208.08900000000003,Cash,198.18,4.7619047619999995,9.908999999999999,6.8
337,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,365.085,Cash,347.7,4.7619047619999995,17.385,5.2
339,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269000000000002,404.649,Credit card,385.38,4.7619047619999995,19.269000000000002,8.9
340,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,151.4835,Credit card,144.27,4.7619047619999995,7.2135,7.8
341,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,Ewallet,391.79,4.7619047619999995,19.5895,8.9
342,B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,565.215,Cash,538.3,4.7619047619999995,26.915,7.7
349,B,Mandalay,Normal,Female,Health and beauty,13.5,10,6.75,141.75,Credit card,135.0,4.7619047619999995,6.75,4.8
352,B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,402.2655,Credit card,383.11,4.7619047619999995,19.1555,8.5
353,B,Mandalay,Member,Male,Home and lifestyle,27.0,9,12.15,255.15,Cash,243.0,4.7619047619999995,12.15,4.8
355,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.38800000000003,Credit card,356.56,4.7619047619999995,17.828,7.8
358,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,Ewallet,82.5,4.7619047619999995,4.125,6.5
359,B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,78.7185,Cash,74.97,4.7619047619999995,3.7485,5.6
370,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,Cash,183.82,4.7619047619999995,9.191,9.9
371,B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.096,128.016,Credit card,121.92,4.7619047619999995,6.096,4.9
376,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,Credit card,318.42,4.7619047619999995,15.921,9.6
379,B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,Credit card,94.6,4.7619047619999995,4.73,4.0
382,B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,Cash,498.45,4.7619047619999995,24.9225,9.9
385,B,Mandalay,Member,Male,Sports and travel,75.82,1,3.7910000000000004,79.611,Cash,75.82,4.7619047619999995,3.7910000000000004,5.8
389,B,Mandalay,Normal,Male,Food and beverages,18.22,7,6.377000000000001,133.917,Credit card,127.54,4.7619047619999995,6.377000000000001,6.6
391,B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,398.475,Cash,379.5,4.7619047619999995,18.975,9.7
397,B,Mandalay,Normal,Male,Home and lifestyle,13.59,9,6.1155,128.4255,Cash,122.31,4.7619047619999995,6.1155,5.8
398,B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,258.678,Credit card,246.36,4.7619047619999995,12.318,8.3
399,B,Mandalay,Member,Male,Electronic accessories,19.24,9,8.658,181.81799999999998,Cash,173.16,4.7619047619999995,8.658,8.0
403,B,Mandalay,Normal,Female,Fashion accessories,39.75,5,9.9375,208.6875,Ewallet,198.75,4.7619047619999995,9.9375,9.6
407,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,Cash,274.84,4.7619047619999995,13.742,4.1
410,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,Cash,342.1,4.7619047619999995,17.105,5.1
411,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.187,45.927,Ewallet,43.74,4.7619047619999995,2.187,6.9
415,B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.8055,100.9155,Ewallet,96.11,4.7619047619999995,4.8055,7.8
418,B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,Ewallet,114.44,4.7619047619999995,5.722,8.3
423,B,Mandalay,Member,Male,Fashion accessories,25.42,8,10.168,213.528,Credit card,203.36,4.7619047619999995,10.168,6.7
425,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,Cash,365.49,4.7619047619999995,18.2745,7.0
427,B,Mandalay,Member,Female,Food and beverages,20.87,3,3.1305,65.7405,Credit card,62.61,4.7619047619999995,3.1305,8.0
428,B,Mandalay,Normal,Male,Sports and travel,67.27,5,16.8175,353.1675,Cash,336.35,4.7619047619999995,16.8175,6.9
430,B,Mandalay,Normal,Male,Fashion accessories,69.08,2,6.9079999999999995,145.06799999999998,Credit card,138.16,4.7619047619999995,6.9079999999999995,6.9
433,B,Mandalay,Normal,Male,Fashion accessories,95.54,7,33.439,702.2189999999999,Credit card,668.78,4.7619047619999995,33.439,9.6
434,B,Mandalay,Normal,Female,Fashion accessories,47.44,1,2.372,49.812,Credit card,47.44,4.7619047619999995,2.372,6.8
441,B,Mandalay,Member,Female,Sports and travel,88.43,8,35.372,742.812,Credit card,707.44,4.7619047619999995,35.372,4.3
445,B,Mandalay,Member,Female,Health and beauty,19.15,1,0.9575,20.1075,Credit card,19.15,4.7619047619999995,0.9575,9.5
448,B,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,Credit card,27.07,4.7619047619999995,1.3535,5.3
449,B,Mandalay,Member,Female,Sports and travel,39.12,1,1.956,41.076,Credit card,39.12,4.7619047619999995,1.956,9.6
450,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,Cash,448.26,4.7619047619999995,22.413,6.7
451,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.66299999999998,Cash,132.06,4.7619047619999995,6.603,7.6
455,B,Mandalay,Member,Female,Fashion accessories,29.56,5,7.39,155.19,Cash,147.8,4.7619047619999995,7.39,6.9
456,B,Mandalay,Member,Female,Food and beverages,77.4,9,34.83,731.43,Credit card,696.6,4.7619047619999995,34.83,4.5
457,B,Mandalay,Normal,Male,Electronic accessories,79.39,10,39.695,833.595,Cash,793.9,4.7619047619999995,39.695,6.2
461,B,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.025,Credit card,730.5,4.7619047619999995,36.525,8.7
467,B,Mandalay,Normal,Male,Sports and travel,37.02,6,11.106,233.226,Cash,222.12,4.7619047619999995,11.106,4.5
473,B,Mandalay,Member,Male,Health and beauty,72.57,8,29.028000000000002,609.5880000000001,Cash,580.56,4.7619047619999995,29.028000000000002,4.6
478,B,Mandalay,Normal,Male,Sports and travel,34.37,10,17.185,360.885,Ewallet,343.7,4.7619047619999995,17.185,6.7
483,B,Mandalay,Member,Male,Home and lifestyle,60.38,10,30.19,633.99,Cash,603.8,4.7619047619999995,30.19,6.0
485,B,Mandalay,Member,Female,Sports and travel,49.49,4,9.898,207.858,Ewallet,197.96,4.7619047619999995,9.898,6.6
486,B,Mandalay,Normal,Female,Fashion accessories,41.09,10,20.545,431.445,Cash,410.9,4.7619047619999995,20.545,7.3
489,B,Mandalay,Member,Female,Home and lifestyle,77.68,9,34.955999999999996,734.076,Ewallet,699.12,4.7619047619999995,34.955999999999996,9.8
490,B,Mandalay,Normal,Female,Fashion accessories,34.7,2,3.47,72.87,Ewallet,69.4,4.7619047619999995,3.47,8.2
492,B,Mandalay,Member,Female,Health and beauty,25.32,8,10.128,212.688,Ewallet,202.56,4.7619047619999995,10.128,8.7
494,B,Mandalay,Normal,Male,Fashion accessories,99.89,2,9.988999999999999,209.769,Ewallet,199.78,4.7619047619999995,9.988999999999999,7.1
495,B,Mandalay,Normal,Male,Sports and travel,75.92,8,30.368000000000002,637.7280000000001,Cash,607.36,4.7619047619999995,30.368000000000002,5.5
498,B,Mandalay,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,Cash,98.13,4.7619047619999995,4.9065,8.9
500,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,Credit card,73.97,4.7619047619999995,3.6985,5.4
503,B,Mandalay,Normal,Female,Sports and travel,93.31,2,9.331,195.951,Cash,186.62,4.7619047619999995,9.331,6.3
504,B,Mandalay,Normal,Male,Sports and travel,88.45,1,4.4225,92.8725,Credit card,88.45,4.7619047619999995,4.4225,9.5
506,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,Cash,145.5,4.7619047619999995,7.275,6.7
507,B,Mandalay,Normal,Female,Food and beverages,84.05,6,25.215,529.515,Credit card,504.3,4.7619047619999995,25.215,7.7
508,B,Mandalay,Member,Male,Health and beauty,61.29,5,15.3225,321.7725,Cash,306.45,4.7619047619999995,15.3225,7.0
510,B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,Credit card,635.18,4.7619047619999995,31.759,6.2
516,B,Mandalay,Member,Male,Health and beauty,54.86,5,13.715,288.015,Ewallet,274.3,4.7619047619999995,13.715,9.8
520,B,Mandalay,Normal,Female,Electronic accessories,45.71,3,6.8565,143.9865,Credit card,137.13,4.7619047619999995,6.8565,7.7
526,B,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.8420000000000005,164.68200000000002,Credit card,156.84,4.7619047619999995,7.8420000000000005,9.0
527,B,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986000000000001,125.706,Ewallet,119.72,4.7619047619999995,5.986000000000001,6.7
528,B,Mandalay,Member,Female,Food and beverages,54.36,10,27.18,570.78,Credit card,543.6,4.7619047619999995,27.18,6.1
532,B,Mandalay,Normal,Male,Electronic accessories,22.95,10,11.475,240.975,Ewallet,229.5,4.7619047619999995,11.475,8.2
536,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,Credit card,73.96,4.7619047619999995,3.698,5.0
542,B,Mandalay,Member,Female,Sports and travel,20.18,4,4.0360000000000005,84.756,Credit card,80.72,4.7619047619999995,4.0360000000000005,5.0
544,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,Credit card,71.2,4.7619047619999995,3.56,9.2
545,B,Mandalay,Member,Male,Home and lifestyle,38.81,4,7.7620000000000005,163.002,Ewallet,155.24,4.7619047619999995,7.7620000000000005,4.9
548,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12.885,270.585,Cash,257.7,4.7619047619999995,12.885,4.2
550,B,Mandalay,Normal,Male,Fashion accessories,57.27,3,8.5905,180.4005,Ewallet,171.81,4.7619047619999995,8.5905,6.5
551,B,Mandalay,Normal,Female,Fashion accessories,54.31,9,24.4395,513.2295,Cash,488.79,4.7619047619999995,24.4395,8.9
552,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208000000000002,550.368,Cash,524.16,4.7619047619999995,26.208000000000002,9.7
555,B,Mandalay,Normal,Male,Home and lifestyle,37.48,3,5.622000000000001,118.06200000000001,Credit card,112.44,4.7619047619999995,5.622000000000001,7.7
556,B,Mandalay,Member,Female,Fashion accessories,72.04,2,7.204,151.284,Cash,144.08,4.7619047619999995,7.204,9.5
560,B,Mandalay,Normal,Male,Electronic accessories,21.58,9,9.711,203.93099999999998,Cash,194.22,4.7619047619999995,9.711,7.3
562,B,Mandalay,Normal,Female,Electronic accessories,42.42,8,16.968,356.32800000000003,Ewallet,339.36,4.7619047619999995,16.968,5.7
564,B,Mandalay,Normal,Male,Fashion accessories,99.25,2,9.925,208.425,Cash,198.5,4.7619047619999995,9.925,9.0
568,B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,Credit card,559.02,4.7619047619999995,27.951,5.5
570,B,Mandalay,Member,Female,Home and lifestyle,82.04,5,20.51,430.71,Credit card,410.2,4.7619047619999995,20.51,7.6
571,B,Mandalay,Member,Male,Sports and travel,26.67,10,13.335,280.035,Cash,266.7,4.7619047619999995,13.335,8.6
573,B,Mandalay,Normal,Male,Food and beverages,72.39,2,7.239,152.019,Credit card,144.78,4.7619047619999995,7.239,8.1
575,B,Mandalay,Member,Male,Fashion accessories,81.31,7,28.4585,597.6285,Ewallet,569.17,4.7619047619999995,28.4585,6.3
576,B,Mandalay,Normal,Male,Food and beverages,60.3,4,12.06,253.26,Cash,241.2,4.7619047619999995,12.06,5.8
579,B,Mandalay,Normal,Male,Health and beauty,69.51,2,6.9510000000000005,145.971,Ewallet,139.02,4.7619047619999995,6.9510000000000005,8.1
583,B,Mandalay,Member,Female,Fashion accessories,18.08,4,3.616,75.936,Credit card,72.32,4.7619047619999995,3.616,9.5
584,B,Mandalay,Normal,Male,Sports and travel,63.06,3,9.459,198.639,Ewallet,189.18,4.7619047619999995,9.459,7.0
594,B,Mandalay,Member,Male,Sports and travel,96.8,3,14.52,304.92,Cash,290.4,4.7619047619999995,14.52,5.3
595,B,Mandalay,Normal,Male,Health and beauty,14.82,3,2.2230000000000003,46.683,Credit card,44.46,4.7619047619999995,2.2230000000000003,8.7
603,B,Mandalay,Normal,Female,Sports and travel,54.51,6,16.352999999999998,343.413,Ewallet,327.06,4.7619047619999995,16.352999999999998,7.8
605,B,Mandalay,Normal,Male,Home and lifestyle,31.75,4,6.35,133.35,Cash,127.0,4.7619047619999995,6.35,8.6
609,B,Mandalay,Member,Male,Food and beverages,57.89,2,5.789,121.569,Ewallet,115.78,4.7619047619999995,5.789,8.9
612,B,Mandalay,Member,Male,Fashion accessories,93.22,3,13.982999999999999,293.643,Cash,279.66,4.7619047619999995,13.982999999999999,7.2
616,B,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,457.38,Cash,435.6,4.7619047619999995,21.78,6.9
622,B,Mandalay,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,Credit card,662.13,4.7619047619999995,33.1065,4.9
623,B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,Credit card,832.5,4.7619047619999995,41.625,4.4
624,B,Mandalay,Member,Male,Fashion accessories,91.35,1,4.5675,95.9175,Cash,91.35,4.7619047619999995,4.5675,6.8
625,B,Mandalay,Member,Female,Food and beverages,78.88,2,7.888,165.648,Cash,157.76,4.7619047619999995,7.888,9.1
627,B,Mandalay,Member,Male,Health and beauty,82.58,10,41.29,867.09,Cash,825.8,4.7619047619999995,41.29,5.0
633,B,Mandalay,Normal,Male,Home and lifestyle,99.7,3,14.955,314.055,Ewallet,299.1,4.7619047619999995,14.955,4.7
634,B,Mandalay,Member,Male,Food and beverages,79.91,3,11.9865,251.7165,Credit card,239.73,4.7619047619999995,11.9865,5.0
635,B,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,Credit card,664.7,4.7619047619999995,33.235,5.0
