,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
56,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11399999999999,Cash,88.68,4.7619047619999995,4.434,5.8
57,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,Ewallet,716.8,4.7619047619999995,35.84,6.6
58,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,723.5,4.7619047619999995,36.175,5.4
63,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,Credit card,158.1,4.7619047619999995,7.905,8.6
65,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,Cash,158.7,4.7619047619999995,7.935,5.8
68,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,Cash,787.7,4.7619047619999995,39.385,6.4
69,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,Cash,18.33,4.7619047619999995,0.9165,4.3
74,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,672.03,4.7619047619999995,33.6015,9.4
77,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,180.09,4.7619047619999995,9.0045,5.7
87,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94300000000004,Credit card,345.66,4.7619047619999995,17.283,7.3
88,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,42.47,4.7619047619999995,2.1235,5.7
92,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,Ewallet,153.86,4.7619047619999995,7.693,5.1
95,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.8580000000000005,102.01799999999999,Ewallet,97.16,4.7619047619999995,4.8580000000000005,7.2
98,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,158.25,4.7619047619999995,7.9125,9.3
103,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.477999999999998,367.038,Cash,349.56,4.7619047619999995,17.477999999999998,9.9
105,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,Ewallet,886.7,4.7619047619999995,44.335,7.3
107,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.41900000000004,Cash,372.78,4.7619047619999995,18.639,7.4
113,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,522.63,4.7619047619999995,26.1315,4.3
118,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,Ewallet,109.6,4.7619047619999995,5.48,6.0
120,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,Credit card,796.48,4.7619047619999995,39.824,5.2
125,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,655.83,4.7619047619999995,32.7915,4.5
126,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,161.25,4.7619047619999995,8.0625,9.0
131,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,Cash,552.78,4.7619047619999995,27.639,8.3
136,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,131.55,4.7619047619999995,6.5775,8.8
137,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.325999999999999,216.84599999999998,Cash,206.52,4.7619047619999995,10.325999999999999,9.8
139,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,Ewallet,580.0,4.7619047619999995,29.0,9.2
144,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,467.7,4.7619047619999995,23.385,8.0
146,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,Ewallet,301.4,4.7619047619999995,15.07,9.2
149,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984000000000002,272.664,Credit card,259.68,4.7619047619999995,12.984000000000002,4.9
152,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,Credit card,749.16,4.7619047619999995,37.458,7.4
155,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,Credit card,461.45,4.7619047619999995,23.0725,9.0
161,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,Cash,63.69,4.7619047619999995,3.1845,6.0
162,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,Credit card,320.53,4.7619047619999995,16.0265,7.0
167,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,Credit card,989.8,4.7619047619999995,49.49,8.7
168,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,Cash,307.68,4.7619047619999995,15.384,6.5
169,A,Yangon,Member,Male,Sports and travel,69.52,7,24.331999999999997,510.972,Credit card,486.64,4.7619047619999995,24.331999999999997,8.5
170,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,Ewallet,350.05,4.7619047619999995,17.5025,5.5
175,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,Ewallet,304.56,4.7619047619999995,15.228,8.8
176,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.22799999999998,Credit card,177.36,4.7619047619999995,8.868,9.6
178,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,Ewallet,443.28,4.7619047619999995,22.164,4.4
182,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,Ewallet,155.0,4.7619047619999995,7.75,8.0
184,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,Credit card,86.38,4.7619047619999995,4.319,6.7
188,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,Ewallet,74.07,4.7619047619999995,3.7035,9.9
194,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,Credit card,163.55,4.7619047619999995,8.1775,9.9
197,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,Ewallet,25.29,4.7619047619999995,1.2645,6.1
205,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,Ewallet,207.27,4.7619047619999995,10.3635,7.9
210,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,Ewallet,236.07,4.7619047619999995,11.8035,5.9
215,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194000000000003,Credit card,18.28,4.7619047619999995,0.914,8.3
217,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,Cash,283.92,4.7619047619999995,14.196,5.5
224,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,Cash,86.5,4.7619047619999995,4.325,6.2
229,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368000000000002,532.7280000000001,Ewallet,507.36,4.7619047619999995,25.368000000000002,7.4
234,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,Ewallet,519.4,4.7619047619999995,25.97,6.5
235,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.59400000000002,Ewallet,186.28,4.7619047619999995,9.314,4.1
239,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,Ewallet,89.69,4.7619047619999995,4.4845,4.9
240,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.222999999999999,235.683,Credit card,224.46,4.7619047619999995,11.222999999999999,5.6
241,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.51700000000001,Credit card,119.54,4.7619047619999995,5.977,5.8
243,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,Cash,250.6,4.7619047619999995,12.53,4.2
245,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.035999999999998,399.756,Cash,380.72,4.7619047619999995,19.035999999999998,5.7
247,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,Ewallet,89.7,4.7619047619999995,4.485,6.8
248,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.42400000000004,Credit card,310.88,4.7619047619999995,15.544,8.8
253,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,Cash,95.0,4.7619047619999995,4.75,5.2
254,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,Cash,471.2,4.7619047619999995,23.56,8.9
256,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,Credit card,66.35,4.7619047619999995,3.3175,9.7
257,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,Ewallet,155.46,4.7619047619999995,7.773,8.7
258,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,Ewallet,129.0,4.7619047619999995,6.45,6.5
260,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,Ewallet,675.54,4.7619047619999995,33.777,6.2
263,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,Cash,222.4,4.7619047619999995,11.12,4.2
265,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,Credit card,688.8,4.7619047619999995,34.44,8.7
268,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,Credit card,282.96,4.7619047619999995,14.148,4.4
269,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,Ewallet,355.4,4.7619047619999995,17.77,7.0
272,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,Credit card,193.86,4.7619047619999995,9.693,8.8
273,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,Cash,24.06,4.7619047619999995,1.203,5.1
279,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,Credit card,440.2,4.7619047619999995,22.01,9.6
280,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,Credit card,559.68,4.7619047619999995,27.984,6.4
282,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,Cash,15.34,4.7619047619999995,0.767,6.5
283,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,Ewallet,598.98,4.7619047619999995,29.949,8.5
284,A,Yangon,Member,Female,Health and beauty,47.67,4,9.533999999999999,200.21400000000003,Cash,190.68,4.7619047619999995,9.533999999999999,9.1
289,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,Cash,664.16,4.7619047619999995,33.208,4.2
292,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.1239999999999997,65.604,Cash,62.48,4.7619047619999995,3.1239999999999997,4.7
293,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.35600000000001,Cash,72.72,4.7619047619999995,3.636,7.1
297,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.79400000000004,Ewallet,470.28,4.7619047619999995,23.514,5.8
298,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,Cash,240.04,4.7619047619999995,12.002,4.5
303,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,214.998,Credit card,204.76,4.7619047619999995,10.238,4.7
305,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,Ewallet,505.4,4.7619047619999995,25.27,4.3
306,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,Cash,281.61,4.7619047619999995,14.0805,9.6
307,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,Cash,710.32,4.7619047619999995,35.516,4.1
308,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.412,Ewallet,79.44,4.7619047619999995,3.972,4.7
309,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,Cash,163.82,4.7619047619999995,8.191,7.8
312,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,Credit card,71.15,4.7619047619999995,3.5575,4.4
313,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,Cash,139.95,4.7619047619999995,6.9975,5.0
322,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,96.13799999999999,Ewallet,91.56,4.7619047619999995,4.578,9.8
323,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,Cash,308.85,4.7619047619999995,15.4425,6.7
324,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,Credit card,129.12,4.7619047619999995,6.456,9.4
326,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,Cash,498.9,4.7619047619999995,24.945,5.4
329,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.71200000000002,Cash,145.44,4.7619047619999995,7.272,7.6
331,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,103.635,Credit card,98.7,4.7619047619999995,4.935,9.1
332,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,Cash,385.1,4.7619047619999995,19.255,5.5
333,A,Yangon,Member,Male,Food and beverages,23.48,2,2.3480000000000003,49.308,Credit card,46.96,4.7619047619999995,2.3480000000000003,7.9
335,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,Credit card,142.25,4.7619047619999995,7.1125,9.1
336,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,Ewallet,687.6,4.7619047619999995,34.38,7.5
344,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.6475,Cash,133.95,4.7619047619999995,6.6975,6.2
345,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385,Ewallet,701.37,4.7619047619999995,35.0685,7.6
346,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,Cash,71.95,4.7619047619999995,3.5975,7.3
348,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107000000000001,191.247,Cash,182.14,4.7619047619999995,9.107000000000001,5.1
351,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,Cash,361.83,4.7619047619999995,18.0915,5.5
360,A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.064,Credit card,647.68,4.7619047619999995,32.384,7.4
363,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.965999999999998,461.286,Cash,439.32,4.7619047619999995,21.965999999999998,7.2
367,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.187999999999999,276.948,Cash,263.76,4.7619047619999995,13.187999999999999,6.0
369,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,Credit card,193.5,4.7619047619999995,9.675,7.8
374,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,Credit card,335.45,4.7619047619999995,16.7725,9.1
375,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,Ewallet,483.5,4.7619047619999995,24.175,7.0
380,A,Yangon,Member,Male,Sports and travel,82.33,4,16.465999999999998,345.786,Credit card,329.32,4.7619047619999995,16.465999999999998,7.5
384,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,Ewallet,204.7,4.7619047619999995,10.235,9.9
387,A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,339.36,Credit card,323.2,4.7619047619999995,16.16,10.0
392,A,Yangon,Member,Male,Electronic accessories,76.82,1,3.841,80.661,Ewallet,76.82,4.7619047619999995,3.841,7.2
393,A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,548.73,Credit card,522.6,4.7619047619999995,26.13,6.2
394,A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,83.727,Ewallet,79.74,4.7619047619999995,3.987,7.3
395,A,Yangon,Normal,Female,Health and beauty,77.5,5,19.375,406.875,Ewallet,387.5,4.7619047619999995,19.375,4.3
396,A,Yangon,Normal,Female,Food and beverages,54.27,5,13.5675,284.9175,Ewallet,271.35,4.7619047619999995,13.5675,4.6
405,A,Yangon,Member,Male,Sports and travel,67.26,4,13.452,282.492,Credit card,269.04,4.7619047619999995,13.452,8.0
406,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,Credit card,68.95,4.7619047619999995,3.4475,7.8
408,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,237.426,Ewallet,226.12,4.7619047619999995,11.306,5.5
412,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,Cash,104.85,4.7619047619999995,5.2425,7.8
413,A,Yangon,Normal,Male,Sports and travel,25.84,3,3.8760000000000003,81.396,Ewallet,77.52,4.7619047619999995,3.8760000000000003,6.6
414,A,Yangon,Normal,Male,Home and lifestyle,50.93,8,20.372,427.81199999999995,Ewallet,407.44,4.7619047619999995,20.372,9.2
419,A,Yangon,Member,Female,Electronic accessories,25.22,7,8.827,185.36700000000002,Cash,176.54,4.7619047619999995,8.827,8.2
426,A,Yangon,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,Cash,372.19,4.7619047619999995,18.6095,8.9
429,A,Yangon,Member,Female,Home and lifestyle,90.65,10,45.325,951.825,Ewallet,906.5,4.7619047619999995,45.325,7.3
432,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.037999999999999,147.798,Ewallet,140.76,4.7619047619999995,7.037999999999999,6.4
437,A,Yangon,Normal,Male,Home and lifestyle,33.99,6,10.197000000000001,214.137,Credit card,203.94,4.7619047619999995,10.197000000000001,7.7
442,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,Credit card,802.89,4.7619047619999995,40.1445,6.5
444,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,Cash,133.7,4.7619047619999995,6.685,9.7
452,A,Yangon,Normal,Female,Food and beverages,63.61,5,15.9025,333.9525,Ewallet,318.05,4.7619047619999995,15.9025,4.8
453,A,Yangon,Normal,Male,Health and beauty,25.0,1,1.25,26.25,Ewallet,25.0,4.7619047619999995,1.25,5.5
454,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,87.234,Cash,83.08,4.7619047619999995,4.154,4.7
464,A,Yangon,Member,Male,Food and beverages,51.34,5,12.835,269.535,Credit card,256.7,4.7619047619999995,12.835,9.1
471,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,Cash,160.2,4.7619047619999995,8.01,9.7
472,A,Yangon,Member,Male,Fashion accessories,43.13,10,21.565,452.865,Credit card,431.3,4.7619047619999995,21.565,5.5
474,A,Yangon,Member,Female,Electronic accessories,64.44,5,16.11,338.31,Cash,322.2,4.7619047619999995,16.11,6.6
475,A,Yangon,Normal,Male,Health and beauty,65.18,3,9.777000000000001,205.317,Credit card,195.54,4.7619047619999995,9.777000000000001,6.3
476,A,Yangon,Normal,Female,Sports and travel,33.26,5,8.315,174.615,Credit card,166.3,4.7619047619999995,8.315,4.2
479,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,Ewallet,38.6,4.7619047619999995,1.93,6.7
482,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,Ewallet,185.7,4.7619047619999995,9.285,5.0
487,A,Yangon,Normal,Male,Fashion accessories,37.15,4,7.43,156.03,Ewallet,148.6,4.7619047619999995,7.43,8.3
491,A,Yangon,Member,Female,Fashion accessories,19.66,10,9.83,206.43,Credit card,196.6,4.7619047619999995,9.83,7.2
499,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.76800000000003,Cash,412.16,4.7619047619999995,20.608,9.6
505,A,Yangon,Member,Male,Electronic accessories,24.18,8,9.672,203.112,Ewallet,193.44,4.7619047619999995,9.672,9.8
511,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,Ewallet,214.55,4.7619047619999995,10.7275,6.1
512,A,Yangon,Normal,Female,Fashion accessories,54.28,7,18.998,398.958,Ewallet,379.96,4.7619047619999995,18.998,9.3
513,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,Cash,696.85,4.7619047619999995,34.8425,7.6
518,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.4730000000000003,72.933,Ewallet,69.46,4.7619047619999995,3.4730000000000003,9.7
522,A,Yangon,Member,Female,Home and lifestyle,37.44,6,11.232000000000001,235.872,Credit card,224.64,4.7619047619999995,11.232000000000001,5.9
524,A,Yangon,Normal,Male,Food and beverages,81.71,6,24.513,514.773,Credit card,490.26,4.7619047619999995,24.513,8.0
525,A,Yangon,Member,Female,Sports and travel,91.41,5,22.8525,479.9025,Ewallet,457.05,4.7619047619999995,22.8525,7.1
529,A,Yangon,Normal,Male,Sports and travel,98.09,9,44.1405,926.9505,Cash,882.81,4.7619047619999995,44.1405,9.3
530,A,Yangon,Normal,Male,Health and beauty,25.43,6,7.629,160.209,Ewallet,152.58,4.7619047619999995,7.629,7.0
531,A,Yangon,Member,Male,Fashion accessories,86.68,8,34.672,728.112,Credit card,693.44,4.7619047619999995,34.672,7.2
534,A,Yangon,Normal,Female,Home and lifestyle,28.32,5,7.08,148.68,Ewallet,141.6,4.7619047619999995,7.08,6.2
537,A,Yangon,Normal,Male,Home and lifestyle,97.94,1,4.897,102.837,Ewallet,97.94,4.7619047619999995,4.897,6.9
538,A,Yangon,Normal,Female,Fashion accessories,73.05,4,14.61,306.81,Credit card,292.2,4.7619047619999995,14.61,4.9
540,A,Yangon,Normal,Male,Home and lifestyle,30.68,3,4.602,96.64200000000001,Ewallet,92.04,4.7619047619999995,4.602,9.1
546,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,Ewallet,294.2,4.7619047619999995,14.71,8.9
547,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,Credit card,548.55,4.7619047619999995,27.4275,6.0
549,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.817999999999998,416.17800000000005,Cash,396.36,4.7619047619999995,19.817999999999998,7.3
554,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.7620000000000005,142.002,Cash,135.24,4.7619047619999995,6.7620000000000005,6.9
558,A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.45799999999997,Ewallet,249.96,4.7619047619999995,12.498,5.6
559,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.863,228.123,Ewallet,217.26,4.7619047619999995,10.863,8.2
563,A,Yangon,Member,Male,Electronic accessories,74.51,6,22.353,469.413,Ewallet,447.06,4.7619047619999995,22.353,5.0
565,A,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,Credit card,812.1,4.7619047619999995,40.605,6.3
567,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583000000000002,621.243,Cash,591.66,4.7619047619999995,29.583000000000002,7.7
572,A,Yangon,Member,Male,Food and beverages,10.13,7,3.5455,74.4555,Ewallet,70.91,4.7619047619999995,3.5455,8.3
574,A,Yangon,Normal,Male,Sports and travel,85.91,5,21.4775,451.0275,Credit card,429.55,4.7619047619999995,21.4775,8.6
578,A,Yangon,Normal,Female,Health and beauty,64.27,4,12.854000000000001,269.934,Cash,257.08,4.7619047619999995,12.854000000000001,7.7
581,A,Yangon,Member,Female,Health and beauty,77.68,4,15.536,326.256,Cash,310.72,4.7619047619999995,15.536,8.4
585,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,217.18200000000002,Credit card,206.84,4.7619047619999995,10.342,9.8
586,A,Yangon,Normal,Female,Food and beverages,52.34,3,7.851,164.87099999999998,Cash,157.02,4.7619047619999995,7.851,9.2
587,A,Yangon,Normal,Female,Sports and travel,43.06,5,10.765,226.065,Ewallet,215.3,4.7619047619999995,10.765,7.7
589,A,Yangon,Normal,Male,Health and beauty,14.62,5,3.655,76.755,Cash,73.1,4.7619047619999995,3.655,4.4
592,A,Yangon,Member,Female,Sports and travel,45.58,1,2.279,47.858999999999995,Cash,45.58,4.7619047619999995,2.279,9.8
593,A,Yangon,Member,Female,Sports and travel,75.2,3,11.28,236.88,Ewallet,225.6,4.7619047619999995,11.28,4.8
596,A,Yangon,Normal,Male,Food and beverages,52.2,3,7.83,164.43,Credit card,156.6,4.7619047619999995,7.83,9.5
599,A,Yangon,Member,Female,Home and lifestyle,70.32,2,7.032,147.672,Ewallet,140.64,4.7619047619999995,7.032,9.6
606,A,Yangon,Member,Female,Fashion accessories,53.65,7,18.7775,394.3275,Ewallet,375.55,4.7619047619999995,18.7775,5.2
608,A,Yangon,Normal,Male,Fashion accessories,30.61,1,1.5305,32.1405,Ewallet,30.61,4.7619047619999995,1.5305,5.2
610,A,Yangon,Normal,Female,Electronic accessories,28.96,1,1.4480000000000002,30.408,Credit card,28.96,4.7619047619999995,1.4480000000000002,6.2
614,A,Yangon,Member,Male,Food and beverages,67.45,10,33.725,708.225,Ewallet,674.5,4.7619047619999995,33.725,4.2
615,A,Yangon,Member,Female,Sports and travel,38.72,9,17.424,365.904,Ewallet,348.48,4.7619047619999995,17.424,4.2
618,A,Yangon,Member,Male,Food and beverages,98.53,6,29.559,620.739,Credit card,591.18,4.7619047619999995,29.559,4.0
620,A,Yangon,Normal,Female,Food and beverages,71.68,3,10.752,225.792,Credit card,215.04,4.7619047619999995,10.752,9.2
